Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,MatchID
34,Sun,4/24/2022,17:05 (23:05),Lille,0.8,1–0,1.2,Strasbourg,"30,211",Stade Pierre-Mauroy,Jérémie Pignard,2122042
34,Sun,4/24/2022,15:00 (21:00),Clermont Foot,2.1,2–2,1.7,Angers,"11,531",Stade Gabriel Montpied,Stéphanie Frappart,2122043
34,Sun,4/24/2022,15:00 (21:00),Nice,2.3,1–0,0.4,Troyes,"17,065",Stade de Nice,Hakim Ben El Hadj Salem,2122044
34,Sun,4/24/2022,15:00 (21:00),Nantes,2.1,5–3,2.8,Bordeaux,"30,000",Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,2122045
34,Sun,4/24/2022,15:00 (21:00),Metz,0.6,0–1,2,Brest,"19,874",Stade Saint-Symphorien,Florent Batta,2122046
34,Sun,4/24/2022,13:00 (19:00),Rennes,2,5–0,0.8,Lorient,"28,324",Roazhon Park,Benoît Millot,2122047
34,Sat,4/23/2022,21:00 (03:00),Paris S-G,2.5,1–1,0.8,Lens,"47,000",Parc des Princes,Amaury Delerue,2122048
34,Sat,4/23/2022,19:00 (01:00),Saint-Étienne,1.1,1–4,3.1,Monaco,"30,018",Stade Geoffroy-Guichard,Bastien Dechepy,2122049
34,Sat,4/23/2022,17:00 (23:00),Lyon,4.4,5–2,2.1,Montpellier,"46,608",Groupama Stadium,François Letexier,2122050
33,Wed,4/20/2022,21:00 (03:00),Marseille,2,3–2,0.6,Nantes,"55,890",Orange Vélodrome,Ruddy Buquet,2122051
33,Wed,4/20/2022,21:00 (03:00),Brest,0.9,2–1,3,Lyon,"14,028",Stade Francis-Le Blé,Jeremy Stinat,2122052
33,Wed,4/20/2022,21:00 (03:00),Lens,1.3,2–0,0.8,Montpellier,"36,250",Stade Bollaert-Delelis,Romain Lissorgue,2122053
33,Wed,4/20/2022,21:00 (03:00),Strasbourg,2.8,2–1,1.2,Rennes,"25,148",Stade de la Meinau,Willy Delajod,2122054
33,Wed,4/20/2022,21:00 (03:00),Angers,0.8,0–3,2.1,Paris S-G,"13,000",Stade Raymond Kopa,Johan Hamel,2122055
33,Wed,4/20/2022,19:00 (01:00),Troyes,1.5,0–1,0.3,Clermont Foot,"7,800",Stade de l'Aube,Jérémie Pignard,2122056
33,Wed,4/20/2022,19:00 (01:00),Lorient,2,1–0,1.8,Metz,"13,544",Stade Yves Allainmat - Le Moustoir,Mikael Lesage,2122057
33,Wed,4/20/2022,19:00 (01:00),Bordeaux,1.2,2–2,1.2,Saint-Étienne,"38,515",Stade Matmut-Atlantique,Benoît Bastien,2122058
33,Wed,4/20/2022,19:00 (01:00),Monaco,2.3,1–0,1,Nice,"10,247",Stade Louis II.,Benoît Millot,2122059
33,Wed,4/20/2022,19:00 (01:00),Reims,1.7,2–1,1.3,Lille,"10,910",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,2122060
32,Sun,4/17/2022,20:45 (02:45),Paris S-G,0.8,2–1,0.9,Marseille,"46,000",Parc des Princes,François Letexier,2122061
32,Sun,4/17/2022,17:05 (23:05),Lyon,2.4,6–1,1.8,Bordeaux,"38,713",Groupama Stadium,Florent Batta,2122062
32,Sun,4/17/2022,15:00 (21:00),Troyes,1.5,1–1,1.1,Strasbourg,"10,000",Stade de l'Aube,Benoît Millot,2122063
32,Sun,4/17/2022,15:00 (21:00),Montpellier,1.4,0–0,1.3,Reims,"10,170",Stade de la Mosson,Antony Gautier,2122064
32,Sun,4/17/2022,15:00 (21:00),Metz,0.4,1–1,3.4,Clermont Foot,"14,335",Stade Saint-Symphorien,Pierre Gaillouste,2122065
32,Sun,4/17/2022,15:00 (21:00),Nantes,3.4,1–1,0.9,Angers,"25,102",Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,2122066
32,Sun,4/17/2022,13:00 (19:00),Nice,1.9,2–1,0.4,Lorient,"17,212",Stade de Nice,Amaury Delerue,2122067
32,Sat,4/16/2022,21:00 (03:00),Lille,1.1,1–2,1.4,Lens,"48,169",Stade Pierre-Mauroy,Jérôme Brisard,2122068
32,Sat,4/16/2022,17:00 (23:00),Saint-Étienne,1.3,2–1,0.6,Brest,"27,227",Stade Geoffroy-Guichard,Eric Wattellier,2122069
32,Fri,4/15/2022,21:00 (03:00),Rennes,1.7,2–3,2.8,Monaco,"28,336",Roazhon Park,Stéphanie Frappart,2122070
31,Sun,4/10/2022,21:00 (03:00),Marseille,3.1,2–0,0.5,Montpellier,"51,131",Orange Vélodrome,Jeremy Stinat,2122071
31,Sun,4/10/2022,19:00 (01:00),Strasbourg,1.2,1–1,2,Lyon,"26,073",Stade de la Meinau,Clément Turpin,2122072
31,Sun,4/10/2022,17:05 (23:05),Lens,0.6,3–0,1.6,Nice,"36,668",Stade Bollaert-Delelis,Willy Delajod,2122073
31,Sun,4/10/2022,15:00 (21:00),Brest,1.4,1–1,1.1,Nantes,"13,145",Stade Francis-Le Blé,Johan Hamel,2122074
31,Sun,4/10/2022,15:00 (21:00),Angers,0.8,1–1,1.1,Lille,"9,286",Stade Raymond Kopa,Thomas Léonard,2122075
31,Sun,4/10/2022,15:00 (21:00),Monaco,0.7,2–1,0.9,Troyes,"4,786",Stade Louis II.,Mikael Lesage,2122076
31,Sun,4/10/2022,13:00 (19:00),Bordeaux,1.9,3–1,1,Metz,"21,652",Stade Matmut-Atlantique,Jérémie Pignard,2122077
31,Sat,4/9/2022,21:00 (03:00),Clermont Foot,1.4,1–6,4.6,Paris S-G,"12,264",Stade Gabriel Montpied,Eric Wattellier,2122078
31,Sat,4/9/2022,17:00 (23:00),Reims,2.7,2–3,1.8,Rennes,"10,243",Stade Auguste-Delaune II,Romain Lissorgue,2122079
31,Fri,4/8/2022,21:00 (03:00),Lorient,4,6–2,1.2,Saint-Étienne,"15,407",Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,2122080
30,Sun,4/3/2022,20:45 (02:45),Paris S-G,2.4,5–1,0.7,Lorient,"40,000",Parc des Princes,Hakim Ben El Hadj Salem,2122081
30,Sun,4/3/2022,17:05 (23:05),Lyon,1.7,3–2,1.7,Angers,"34,376",Groupama Stadium,Eric Wattellier,2122082
30,Sun,4/3/2022,15:00 (21:00),Clermont Foot,0.9,2–3,1.8,Nantes,"11,785",Stade Gabriel Montpied,Mikael Lesage,2122083
